college_id,college_name
0,Duke
1,Iowa
2,UCLA
3,LSU
4,Michigan
5,California
6,Indiana
7,Western
8,Salem
9,
10,Memphis
11,Pepperdine
12,Long
13,Oral
14,Hillsdale
15,Baylor
16,Oklahoma
17,Northwestern
18,Gardner
19,Arizona
20,St
21,Boston
22,Pitt
23,Syracuse
24,Kentucky
25,Louisville
26,Loyola
27,UConn
28,Kansas
29,DePaul
30,Missouri
31,BYU
32,Moberly
33,Morehead
34,Washington
35,Illinois
36,Florida
37,Fresno
38,Texas
39,Virginia
40,South
41,West
42,Tennessee
43,Creighton
44,New
45,Marshall
46,Penn
47,Temple
48,Villanova
49,Utah
50,Butler
51,Miami
52,UNLV
53,Rice
54,Duquesne
55,Liberty
56,Georgia
57,Vanderbilt
58,Southern
59,Wake
60,Blinn
61,Canisius
62,Saint
63,Augsburg
64,USC
65,Ohio
66,Houston
67,Bradley
68,Drexel
69,UC
70,Alabama
71,Dayton
72,UNC
73,University
74,Cincinnati
75,Niagara
76,Fayetteville
77,Notre
78,Tulane
79,Alliance
80,North
81,Seton
82,Santa
83,Gonzaga
84,Nevada
85,Fordham
86,Eastern
87,Rutgers
88,Tuskegee
89,NC
90,Wichita
91,UW
92,Oregon
93,TCU
94,Dixie
95,Nebraska
96,Northeastern
97,Minnesota
98,Auburn
99,Providence
100,Detroit
101,College
102,George
103,Northern
104,Peirce
105,Maryland
106,Old
107,Norfolk
108,SMU
109,Midland
110,Prairie
111,Yakima
112,Columbia
113,Stanford
114,Drake
115,Jacksonville
116,Georgetown
117,Winston
118,Green
119,Oakland
120,Marquette
121,Weber
122,Arkansas
123,Colorado
124,Bowling
125,Assumption
126,Valparaiso
127,Monmouth
128,Wisconsin
129,Dartmouth
130,Holy
131,Clemson
132,Cheyney
133,Muhlenberg
134,Vincennes
135,San
136,Cal
137,Grambling
138,Tulsa
139,Princeton
140,Wyoming
141,Xavier
142,Elon
143,NYU
144,Colgate
145,Toledo
146,Johnson
147,Louisiana
148,La
149,Humboldt
150,Indian
151,Southeastern
152,Wayne
153,Okaloosa
154,Murray
155,Slippery
156,Mississippi
157,McNeese
158,Manhattan
159,Northeast
160,Jackson
161,Lon
162,Iona
163,Pikeville
164,Tyler
165,City
166,Rockhurst
167,Rhode
168,UMass
169,Purdue
170,Otterbein
171,Guilford
172,Hawaii
173,Mount
174,Hardin
175,Trinidad
176,Montana
177,Boise
178,Ole
179,Belmont
180,Irvine
181,Hofstra
182,Campbell
183,SE
184,Central
185,Cleveland
186,Bloomsburg
187,Idaho
188,Winthrop
189,Howard
190,Willamette
191,Cerritos
192,Robert
193,Davidson
194,VCU
195,Denver
196,UAB
197,Cypress
198,Albany
199,Delaware
200,Midwestern
201,Clark
202,King
203,Lawrence
204,Seattle
205,Cochise
206,Voorhees
207,Truman
208,LeMoyne
209,Yale
210,William
211,Trinity
212,Wright
213,East
214,Kent
215,Little
216,Odessa
217,Hamline
218,American
219,Morehouse
220,Palomar
221,Brandywine
222,Presbyterian
223,Cornell
224,Grand
225,Brooklyn
226,Millsaps
227,Bethune
228,Bucknell
229,Fairfield
230,Elizabeth
231,DePauw
232,Hibbing
233,Austin
234,Sam
235,Carleton
236,Fort
237,Richmond
238,Delta
239,Gannon
240,Trenton
241,Pensacola
242,Harvard
243,Hampton
244,Radford
245,Brown
246,Monroe
247,Imperial
248,Franklin
249,Southwestern
250,Wingate
251,Stephen
252,Lamar
253,Acadia
254,UT
255,Ashland
256,Casper
257,Wheeling
258,IUPUI
259,State
260,Queens
261,Springfield
262,Northwest
263,Thomas
264,Alcorn
265,Wilberforce
266,Allan
267,Frank
268,Bemidji
269,Cameron
270,Harbor
271,Dillard
272,Aurora
273,Huntington
274,Buffalo
275,Wenatchee
276,Hill
277,Connors
278,Whitworth
279,Lincoln
280,Amarillo
281,Longwood
282,Centenary
283,Middle
284,Stetson
285,Nicholls
286,Hastings
287,Culver
288,Augustana
289,Rider
290,Phoenix
291,Case
292,Mineral
293,High
294,Yankton
295,Furman
296,Upper
297,Vanier
298,Davis
299,Ball
300,Lipscomb
301,Savannah
302,Upsala
303,Lehigh
304,Miles
305,Hiram
306,Pearl
307,Mercer
308,Youngstown
309,Chicago
310,Westchester
311,Meridian
312,Air
313,United
314,Molloy
315,Wofford
316,Beloit
317,Coppin
318,Westminster
319,Lebanon
320,Ouachita
321,Master
322,Merced
323,Wheaton
324,Northwood
325,Siena
326,Walla
327,Barton
328,Lee
329,Bethel
330,Chipola
331,Williams
332,Pasadena
333,Riverside
334,Labette
335,Seward
336,Chattanooga
337,John
338,Catholic
339,Dakota
340,Augusta
341,Benedict
342,Kenyon
343,Appalachian
344,Valdosta
345,Marist
346,Three
347,Pratt
348,Christopher
349,Lewis
350,Brigham
351,Dodge
352,Mott
353,James
354,Paris
355,Azusa
356,Millersville
357,Cuyahoga
358,Stony
359,Wharton
360,Morgan
361,Sonoma
362,Triton
363,Portland
364,Hanover
365,Friendship
366,Kennesaw
